row_no,FIPS,date,rainfall
0,26001,1900-01-01,24.6
1,26001,1900-02-01,63.4
2,26001,1900-03-01,42.4
3,26001,1900-04-01,21.05
4,26001,1900-05-01,46.75
5,26001,1900-06-01,13.0
6,26001,1900-07-01,67.8
7,26001,1900-08-01,129.6
8,26001,1900-09-01,60.150000000000006
9,26001,1900-10-01,74.35
10,26001,1900-11-01,61.8
11,26001,1900-12-01,18.1
12,26001,1901-01-01,37.05
13,26001,1901-02-01,24.95
14,26001,1901-03-01,106.85
15,26001,1901-04-01,51.1
16,26001,1901-05-01,55.45
17,26001,1901-06-01,34.9
18,26001,1901-07-01,85.44999999999999
19,26001,1901-08-01,72.55000000000001
20,26001,1901-09-01,71.5
21,26001,1901-10-01,83.05000000000001
22,26001,1901-11-01,12.35
23,26001,1901-12-01,33.2
24,26001,1902-01-01,27.5
25,26001,1902-02-01,15.05
26,26001,1902-03-01,58.65
27,26001,1902-04-01,43.05
28,26001,1902-05-01,72.05000000000001
29,26001,1902-06-01,90.75
30,26001,1902-07-01,145.05
31,26001,1902-08-01,37.9
32,26001,1902-09-01,46.85
33,26001,1902-10-01,85.69999999999999
34,26001,1902-11-01,34.8
35,26001,1902-12-01,58.25
36,26001,1903-01-01,33.45
37,26001,1903-02-01,45.4
38,26001,1903-03-01,47.3
39,26001,1903-04-01,55.6
40,26001,1903-05-01,74.9
41,26001,1903-06-01,84.2
42,26001,1903-07-01,140.1
43,26001,1903-08-01,138.9
44,26001,1903-09-01,92.4
45,26001,1903-10-01,57.7
46,26001,1903-11-01,
47,26001,1903-12-01,56.4
48,26001,1904-01-01,54.2
49,26001,1904-02-01,97.1
50,26001,1904-03-01,63.5
51,26001,1904-04-01,64.5
52,26001,1904-05-01,112.6
53,26001,1904-06-01,
54,26001,1904-07-01,66.5
55,26001,1904-08-01,44.4
56,26001,1904-09-01,45.2
57,26001,1904-10-01,39.9
58,26001,1904-11-01,13.2
59,26001,1904-12-01,60.3
60,26001,1905-01-01,63.6
61,26001,1905-02-01,54.0
62,26001,1905-03-01,100.6
63,26001,1905-04-01,79.0
64,26001,1905-05-01,92.5
65,26001,1905-06-01,86.1
66,26001,1905-07-01,108.0
67,26001,1905-08-01,50.6
68,26001,1905-09-01,35.1
69,26001,1905-10-01,58.5
70,26001,1905-11-01,49.2
71,26001,1905-12-01,54.5
72,26001,1906-01-01,103.0
73,26001,1906-02-01,60.6
74,26001,1906-03-01,91.1
75,26001,1906-04-01,61.1
76,26001,1906-05-01,104.2
77,26001,1906-06-01,63.7
78,26001,1906-07-01,86.0
79,26001,1906-08-01,74.1
80,26001,1906-09-01,83.5
81,26001,1906-10-01,101.2
82,26001,1906-11-01,101.9
83,26001,1906-12-01,47.5
84,26001,1907-01-01,113.7
85,26001,1907-02-01,48.8
86,26001,1907-03-01,84.2
87,26001,1907-04-01,85.3
88,26001,1907-05-01,55.7
89,26001,1907-06-01,71.1
90,26001,1907-07-01,8.7
91,26001,1907-08-01,38.7
92,26001,1907-09-01,96.8
93,26001,1907-10-01,21.8
94,26001,1907-11-01,97.1
95,26001,1907-12-01,86.0
