,row_no,FIPS,date,rainfall,county_name
0,0,26001,2000-01-01,26.7,Alcona
1,1,26001,2000-02-01,31.4,Alcona
2,2,26001,2000-03-01,16.5,Alcona
3,3,26001,2000-04-01,65.9,Alcona
4,4,26001,2000-05-01,123.3,Alcona
5,5,26001,2000-06-01,85.6,Alcona
6,6,26001,2000-07-01,64.5,Alcona
7,7,26001,2000-08-01,89.1,Alcona
8,8,26001,2000-09-01,94.9,Alcona
9,9,26001,2000-10-01,31.0,Alcona
10,10,26001,2000-11-01,52.6,Alcona
11,11,26001,2000-12-01,43.6,Alcona
12,12,26001,2001-01-01,34.0,Alcona
13,13,26001,2001-02-01,49.1,Alcona
14,14,26001,2001-03-01,10.6,Alcona
15,15,26001,2001-04-01,30.8,Alcona
16,16,26001,2001-05-01,72.9,Alcona
17,17,26001,2001-06-01,67.4,Alcona
18,18,26001,2001-07-01,49.1,Alcona
19,19,26001,2001-08-01,73.3,Alcona
20,20,26001,2001-09-01,153.3,Alcona
21,21,26001,2001-10-01,103.9,Alcona
22,22,26001,2001-11-01,39.8,Alcona
23,23,26001,2001-12-01,20.1,Alcona
24,24,26001,2002-01-01,13.5,Alcona
25,25,26001,2002-02-01,49.8,Alcona
26,26,26001,2002-03-01,53.3,Alcona
27,27,26001,2002-04-01,79.5,Alcona
28,28,26001,2002-05-01,113.3,Alcona
29,29,26001,2002-06-01,94.3,Alcona
30,30,26001,2002-07-01,96.4,Alcona
31,31,26001,2002-08-01,40.5,Alcona
32,32,26001,2002-09-01,47.4,Alcona
33,33,26001,2002-10-01,64.4,Alcona
34,34,26001,2002-11-01,26.6,Alcona
35,35,26001,2002-12-01,26.4,Alcona
36,36,26001,2003-01-01,10.0,Alcona
37,37,26001,2003-02-01,12.5,Alcona
38,38,26001,2003-03-01,40.9,Alcona
39,39,26001,2003-04-01,64.6,Alcona
40,40,26001,2003-05-01,123.5,Alcona
41,41,26001,2003-06-01,73.7,Alcona
42,42,26001,2003-07-01,100.3,Alcona
43,43,26001,2003-08-01,25.1,Alcona
44,44,26001,2003-09-01,57.1,Alcona
45,45,26001,2003-10-01,40.8,Alcona
46,46,26001,2003-11-01,128.0,Alcona
47,47,26001,2003-12-01,40.2,Alcona
48,48,26001,2004-01-01,37.6,Alcona
49,49,26001,2004-02-01,18.3,Alcona
50,50,26001,2004-03-01,54.5,Alcona
51,51,26001,2004-04-01,58.0,Alcona
52,52,26001,2004-05-01,162.0,Alcona
53,53,26001,2004-06-01,49.2,Alcona
54,54,26001,2004-07-01,70.2,Alcona
55,55,26001,2004-08-01,60.7,Alcona
56,56,26001,2004-09-01,13.6,Alcona
57,57,26001,2004-10-01,69.8,Alcona
58,58,26001,2004-11-01,45.9,Alcona
59,59,26001,2004-12-01,59.0,Alcona
60,60,26001,2005-01-01,64.0,Alcona
61,61,26001,2005-02-01,24.4,Alcona
62,62,26001,2005-03-01,33.6,Alcona
63,63,26001,2005-04-01,47.8,Alcona
64,64,26001,2005-05-01,35.7,Alcona
65,65,26001,2005-06-01,64.2,Alcona
66,66,26001,2005-07-01,103.6,Alcona
